,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
221,Panacea,journal,0.183 ,4,13,78,257,16,65,0.26,19.77,
222,Revista Espanola de Medicina Legal,journal,0.183 ,9,39,113,1012,27,104,0.34,25.95,
223,Campus Virtuales,journal,0.182 ,2,20,20,605,10,20,0.50,30.25,
224,Estudios Geograficos,journal,0.182 ,8,11,80,360,22,75,0.22,32.73,
225,Pediatria Integral,journal,0.182 ,6,69,341,849,29,226,0.11,12.30,
226,Revista Galega de Economia,journal,0.182 ,5,24,69,486,13,69,0.20,20.25,
227,Logos (Spain),journal,0.181 ,3,19,40,767,6,40,0.04,40.37,
228,Arxius de Miscellania Zoologica,journal,0.179 ,4,6,22,323,11,22,0.42,53.83,
229,Recerca,journal,0.179 ,3,17,39,704,25,39,0.64,41.41,
230,Ciencia e Tecnologia dos Materiais,journal,0.178 ,6,0,115,0,68,115,0.58,0.00,
231,Revista Espanola de Ciencia Politica,journal,0.178 ,4,26,83,1389,23,82,0.29,53.42,
232,Dynamis,journal,0.177 ,10,19,65,1522,15,64,0.15,80.11,
233,Historia Social,journal,0.176 ,6,26,67,1338,16,66,0.27,51.46,
234,SHILAP,journal,0.176 ,9,0,142,0,25,141,0.21,0.00,
235,Cadernos do Laboratorio Xeoloxico de Laxe,journal,0.175 ,10,0,17,0,5,16,0.11,0.00,
236,European Journal of Anatomy,journal,0.174 ,17,57,143,2005,54,142,0.29,35.18,
237,Revista Colombiana de Psiquiatria,journal,0.174 ,5,77,162,2132,56,136,0.39,27.69,
238,Revista Electronica de Veterinaria,journal,0.174 ,4,215,505,4803,34,494,0.06,22.34,
239,Avances en Diabetologia,journal,0.172 ,7,0,18,0,6,15,0.00,0.00,
240,Scripta Nova,journal,0.172 ,7,24,79,1404,29,79,0.38,58.50,
241,Porto Biomedical Journal,journal,0.171 ,2,0,17,0,8,17,0.47,0.00,
242,Revista Portuguesa de Saude Publica,journal,0.171 ,6,0,61,0,24,56,0.56,0.00,
243,Semergen,journal,0.171 ,8,162,524,2716,149,331,0.44,16.77,
244,Anales del Sistema Sanitario de Navarra,journal,0.170 ,20,56,184,1225,74,117,0.80,21.88,
